addr1_packet_ctrl, addr1_bytes_ctrl, addr1_packet, addr1_bytes, addr1_pkt_len_min, addr1_pkt_len_max, addr1_pkt_len_avg,addr1_pkt_len_var, addr1_pkt_len_mom2, addr2_packet_ctrl, addr2_bytes_ctrl, addr2_packet, addr2_bytes, addr2_pkt_len_min, addr2_pkt_len_max, addr2_pkt_len_avg,addr2_pkt_len_var, addr2_pkt_len_mom2, addra_packet_ctrl, addra_bytes_ctrl, addra_packet, addra_bytes, addra_pkt_len_min, addra_pkt_len_max, addra_pkt_len_avg,addra_pkt_len_var, addra_pkt_len_mom2 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 200, 200, 200, 200.0, 0.0, 40000.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 200, 200, 200, 200.0, 0.0, 40000.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 328, 10, 2498, 68, 594, 249.8, 47415.96000000001, 109816.0, 8, 432, 4, 3512, 83, 2710, 878.0, 1168611.5, 1939495.5, 14, 760, 14, 6010, 68, 2710, 429.2857142857143, 643165.8888888889, 632581.5714285715
22, 1152, 15, 2552, 74, 569, 170.13333333333333, 19351.84888888889, 48297.2, 11, 580, 32, 49403, 83, 5724, 1543.84375, 3550244.5693359375, 5933698.09375, 33, 1732, 47, 51955, 74, 5724, 1105.4255319148936, 3170095.4302195157, 4055378.659574468
6, 328, 4, 1343, 89, 569, 335.75, 54496.6875, 167224.75, 3, 172, 3, 3576, 217, 2727, 1192.0, 1206816.6666666667, 2627680.6666666665, 9, 500, 7, 4919, 89, 2727, 702.7142857142857, 921848.05, 1221705.857142857
3, 156, 5, 2666, 68, 2042, 533.2, 571248.96, 855551.2, 2, 104, 4, 7596, 103, 3695, 1899.0, 3225616.0, 6831817.0, 5, 260, 9, 10262, 68, 3695, 1140.2222222222222, 2646222.6745562134, 3511669.3333333335
1, 52, 1, 200, 200, 200, 200.0, 0.0, 40000.0, 1, 52, 1, 1096, 1096, 1096, 1096.0, 0.0, 1201216.0, 2, 104, 2, 1296, 200, 1096, 648.0, 178403.5555555556, 620608.0
0, 0, 1, 200, 200, 200, 200.0, 0.0, 40000.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 200, 200, 200, 200.0, 0.0, 40000.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 52, 3, 2356, 68, 2088, 785.3333333333334, 851374.2222222221, 1468122.6666666667, 1, 52, 1, 7338, 7338, 7338, 7338.0, 0.0, 53846244.0, 2, 104, 4, 9694, 68, 7338, 2423.5, 10815810.24, 14562653.0
0, 0, 1, 2167, 2167, 2167, 2167.0, 0.0, 4695889.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2167, 2167, 2167, 2167.0, 0.0, 4695889.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52, 0, 0, 0, 0, 0, 0, 0, 1, 52, 0, 0, 0, 0, 0, 0, 0
22, 1144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 67822, 160, 13084, 3082.818181818182, 5294129.694214875, 14797897.636363637, 22, 1144, 22, 67822, 160, 13084, 3082.818181818182, 5294129.694214877, 14797897.636363637
1, 60, 1, 78, 78, 78, 78.0, 0.0, 6084.0, 0, 0, 1, 275, 275, 275, 275.0, 0.0, 75625.0, 1, 60, 2, 353, 78, 275, 176.5, 8624.22222222222, 40854.5
4, 208, 8, 14829, 178, 2948, 1853.625, 1207178.234375, 4643103.875, 7, 372, 3, 11644, 2580, 5649, 3881.3333333333335, 1678526.888888889, 16743275.333333334, 11, 580, 11, 26473, 178, 5649, 2406.6363636363635, 2416107.5153061226, 7943150.636363637
3, 157, 7, 11560, 65, 2948, 1651.4285714285713, 1522153.9591836736, 4249370.285714285, 3, 156, 3, 3458, 103, 3099, 1152.6666666666667, 1898008.222222222, 3226648.6666666665, 6, 313, 10, 15018, 65, 3099, 1501.8, 1757448.0236686391, 3942553.8
6, 312, 4, 10669, 2320, 2948, 2667.25, 81031.6875, 7195254.25, 7, 364, 7, 15173, 466, 5844, 2167.5714285714284, 2812392.81632653, 7510758.714285715, 13, 676, 11, 25842, 466, 5844, 2349.2727272727275, 2248578.015432099, 7396029.818181818
53, 2780, 10, 4875, 85, 935, 487.5, 113858.65, 351514.9, 6, 336, 67, 418369, 101, 23220, 6244.313432835821, 54997311.4390733, 93988761.68656716, 59, 3116, 77, 423244, 85, 23220, 5496.675324675325, 53327588.98490548, 81828080.28571428
141, 7356, 29, 34991, 116, 2948, 1206.5862068965516, 634837.0011890605, 2090687.2758620689, 8, 440, 193, 2021390, 292, 26116, 10473.523316062176, 62862737.58624392, 172557428.23834196, 149, 7796, 222, 2056381, 116, 26116, 9262.977477477478, 64095918.26055452, 150289250.36486486
666, 34632, 37, 39695, 421, 2948, 1072.837837837838, 108306.08181154131, 1259287.1081081082, 5, 260, 850, 8261121, 321, 29012, 9718.96588235294, 63223237.840012446, 157681535.66235295, 671, 34892, 887, 8300816, 321, 29012, 9358.304396843292, 63437275.99897254, 151156594.06538895
578, 30064, 34, 39640, 116, 2948, 1165.8823529411766, 407073.6332179931, 1766355.294117647, 7, 372, 825, 8771894, 363, 27564, 10632.598787878787, 57532677.71418035, 170584834.6981818, 585, 30436, 859, 8811534, 116, 27564, 10257.897555296857, 58152182.58610593, 163902845.99068683
414, 21528, 9, 9395, 1040, 1045, 1043.888888888889, 4.320987654320987, 1089708.3333333333, 1, 52, 593, 6121345, 461, 29012, 10322.672849915683, 56925062.068352245, 163482636.8347386, 415, 21580, 602, 6130740, 461, 29012, 10183.953488372093, 57139874.77296966, 161054835.57807308
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40, 0, 0, 0, 0, 0, 0, 0
1, 59, 6, 14187, 217, 2948, 2364.5, 993768.25, 6584628.5, 3, 156, 1, 1290, 1290, 1290, 1290.0, 0.0, 1664100.0, 4, 215, 7, 15477, 217, 2948, 2211.0, 961804.359375, 5881695.857142857
4, 204, 16, 37597, 68, 2948, 2349.8125, 872779.02734375, 6394397.8125, 4, 208, 2, 9016, 4164, 4852, 4508.0, 118336.0, 20440400.0, 8, 412, 18, 46613, 68, 4852, 2589.6111111111113, 1467134.1475000002, 7955064.722222222
4, 208, 2, 672, 103, 569, 336.0, 54289.0, 167185.0, 7, 372, 3, 4962, 197, 2948, 1654.0, 1274618.0, 4010334.0, 11, 580, 5, 5634, 103, 2948, 1126.8, 1295246.5, 2473074.4
