addr1_packet_ctrl, addr1_bytes_ctrl, addr1_packet, addr1_bytes, addr1_pkt_len_min, addr1_pkt_len_max, addr1_pkt_len_avg,addr1_pkt_len_var, addr1_pkt_len_mom2, addr2_packet_ctrl, addr2_bytes_ctrl, addr2_packet, addr2_bytes, addr2_pkt_len_min, addr2_pkt_len_max, addr2_pkt_len_avg,addr2_pkt_len_var, addr2_pkt_len_mom2, addra_packet_ctrl, addra_bytes_ctrl, addra_packet, addra_bytes, addra_pkt_len_min, addra_pkt_len_max, addra_pkt_len_avg,addra_pkt_len_var, addra_pkt_len_mom2 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 157, 157, 157, 157.0, 0.0, 24649.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 157, 157, 157, 157.0, 0.0, 24649.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 112, 3, 840, 71, 569, 280.0, 44534.0, 122934.0, 2, 112, 0, 0, 0, 0, 0, 0, 0, 4, 224, 3, 840, 71, 569, 280.0, 44534.0, 122934.0
8, 424, 13, 2809, 83, 611, 216.07692307692307, 34250.37869822484, 80939.61538461539, 12, 632, 12, 8577, 83, 2710, 714.75, 837748.6875, 1348616.25, 20, 1056, 25, 11386, 83, 2710, 455.44, 612112.3564645726, 689424.4
14, 728, 4, 490, 74, 234, 122.5, 4192.25, 19198.5, 3, 156, 20, 44178, 83, 5724, 2208.9, 4249085.590000001, 9128324.8, 17, 884, 24, 44668, 74, 5724, 1861.1666666666667, 4222943.630165288, 7610137.083333333
9, 472, 9, 2316, 80, 569, 257.3333333333333, 38355.11111111111, 104575.55555555556, 9, 484, 7, 8178, 83, 3833, 1168.2857142857142, 1917425.9183673467, 3282317.4285714286, 18, 956, 16, 10494, 80, 3833, 655.875, 1379791.6219281664, 1494837.625
17, 884, 2, 390, 195, 195, 195.0, 0.0, 38025.0, 0, 0, 21, 51114, 345, 5724, 2434.0, 3379580.761904762, 9303936.761904761, 17, 884, 23, 51504, 195, 5724, 2239.304347826087, 3443474.9028925616, 8498205.304347826
10, 508, 1, 91, 91, 91, 91.0, 0.0, 8281.0, 1, 52, 9, 25827, 91, 5724, 2869.6666666666665, 3733306.0, 11968292.777777778, 11, 560, 10, 25918, 91, 5724, 2591.8, 3921796.243767313, 10772291.6
0, 0, 2, 395, 195, 200, 197.5, 6.25, 39012.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 395, 195, 200, 197.5, 6.25, 39012.5
0, 0, 1, 195, 195, 195, 195.0, 0.0, 38025.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 195, 195, 195, 195.0, 0.0, 38025.0
11, 596, 16, 7483, 68, 1498, 467.6875, 186356.46484375, 405088.0625, 13, 700, 8, 11396, 84, 3328, 1424.5, 2054817.25, 4084017.5, 24, 1296, 24, 18879, 68, 3328, 786.625, 1349459.3974609375, 1631397.875
46, 2392, 14, 4428, 87, 1487, 316.2857142857143, 207509.91836734692, 307546.5714285714, 9, 468, 50, 254591, 83, 14532, 5091.82, 13087127.027599998, 39013757.94, 55, 2860, 64, 259019, 83, 14532, 4047.171875, 13962177.03477993, 30546774.203125
15, 780, 2, 1683, 195, 1488, 841.5, 417962.25, 1126084.5, 1, 52, 15, 245500, 8935, 18876, 16366.666666666666, 13158227.688888887, 281026005.46666664, 16, 832, 17, 247183, 195, 18876, 14540.176470588236, 26484859.538085938, 248096603.0
1, 40, 2, 1433, 68, 1365, 716.5, 420552.25, 933924.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40, 2, 1433, 68, 1365, 716.5, 420552.25, 933924.5
31, 1600, 2, 1669, 200, 1469, 834.5, 402590.25, 1098980.5, 2, 104, 38, 378291, 1568, 23220, 9955.026315789473, 62005505.18351801, 161108054.13157895, 33, 1704, 40, 379960, 200, 23220, 9499.0, 62504176.01068376, 153107600.45
39, 2040, 5, 3700, 84, 1471, 740.0, 365064.8, 912664.8, 2, 104, 56, 576969, 982, 23220, 10303.017857142857, 37754163.767538264, 143906340.73214287, 41, 2144, 61, 580669, 84, 23220, 9519.16393442623, 39897498.63525458, 132185547.62295082
27, 1412, 15, 4759, 68, 1348, 317.26666666666665, 145628.99555555556, 246287.13333333333, 13, 684, 35, 246719, 83, 26116, 7049.114285714286, 82418309.75836734, 132108321.97142857, 40, 2096, 50, 251478, 68, 26116, 5029.56, 74485575.22712804, 92549711.52
0, 0, 3, 415, 91, 200, 138.33333333333334, 2082.8888888888887, 21219.0, 4, 208, 1, 131, 131, 131, 131.0, 0.0, 17161.0, 4, 208, 4, 546, 91, 200, 136.5, 1262.6399999999999, 20204.5
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 200, 200, 200, 200.0, 0.0, 40000.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 200, 200, 200, 200.0, 0.0, 40000.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 68, 68, 68, 68.0, 0.0, 4624.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 68, 68, 68, 68.0, 0.0, 4624.0
2, 104, 4, 671, 91, 200, 167.75, 1992.6875, 30132.75, 2, 104, 4, 528, 83, 183, 132.0, 2051.0, 19475.0, 4, 208, 8, 1199, 83, 200, 149.875, 2315.576388888889, 24803.875
0, 0, 1, 200, 200, 200, 200.0, 0.0, 40000.0, 1, 52, 0, 0, 0, 0, 0, 0, 0, 1, 52, 1, 200, 200, 200, 200.0, 0.0, 40000.0
2, 104, 7, 1578, 87, 737, 225.42857142857142, 46921.959183673454, 97740.0, 6, 312, 6, 662, 83, 152, 110.33333333333333, 694.5555555555557, 12868.0, 8, 416, 13, 2240, 83, 737, 172.30769230769232, 20808.088642659284, 58568.307692307695
1, 52, 2, 286, 91, 195, 143.0, 2704.0, 23153.0, 1, 52, 3, 306, 83, 132, 102.0, 460.6666666666667, 10864.666666666666, 2, 104, 5, 592, 83, 195, 118.4, 1336.6875, 15780.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 52, 3, 739, 91, 448, 246.33333333333334, 22314.88888888889, 82995.0, 2, 104, 3, 296, 83, 122, 98.66666666666667, 282.88888888888886, 10018.0, 3, 156, 6, 1035, 83, 448, 172.5, 12472.54320987654, 46506.5
