addr1_packet_ctrl, addr1_bytes_ctrl, addr1_packet, addr1_bytes, addr1_pkt_len_min, addr1_pkt_len_max, addr1_pkt_len_avg,addr1_pkt_len_var, addr1_pkt_len_mom2, addr2_packet_ctrl, addr2_bytes_ctrl, addr2_packet, addr2_bytes, addr2_pkt_len_min, addr2_pkt_len_max, addr2_pkt_len_avg,addr2_pkt_len_var, addr2_pkt_len_mom2, addra_packet_ctrl, addra_bytes_ctrl, addra_packet, addra_bytes, addra_pkt_len_min, addra_pkt_len_max, addra_pkt_len_avg,addra_pkt_len_var, addra_pkt_len_mom2 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 195, 195, 195, 195.0, 0.0, 38025.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 195, 195, 195, 195.0, 0.0, 38025.0
0, 0, 1, 195, 195, 195, 195.0, 0.0, 38025.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 195, 195, 195, 195.0, 0.0, 38025.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 276, 8, 1877, 71, 610, 234.625, 43580.984375, 98629.875, 6, 320, 4, 3512, 83, 2710, 878.0, 1168611.5, 1939495.5, 11, 596, 12, 5389, 71, 2710, 449.0833333333333, 709579.08984375, 712251.75
14, 728, 12, 2208, 83, 569, 184.0, 23445.166666666668, 57301.166666666664, 13, 684, 23, 48815, 83, 5724, 2122.391304347826, 5287398.759924386, 9791943.608695652, 27, 1412, 35, 51023, 83, 5724, 1457.8, 4814851.639714626, 6454351.914285715
9, 492, 7, 2077, 74, 569, 296.7142857142857, 55734.48979591838, 143773.85714285713, 6, 336, 7, 4017, 83, 2729, 573.8571428571429, 805590.9795918366, 1134903.0, 15, 828, 14, 6094, 74, 2729, 435.2857142857143, 572707.2970521542, 639338.4285714285
4, 208, 4, 2275, 178, 1719, 568.75, 441105.6875, 764582.25, 2, 104, 5, 7648, 103, 3695, 1529.6, 1854974.2399999998, 4194650.4, 6, 312, 9, 9923, 103, 3695, 1102.5555555555557, 1639426.637755102, 2670175.6666666665
1, 52, 0, 0, 0, 0, 0, 0, 0, 1, 52, 1, 913, 913, 913, 913.0, 0.0, 833569.0, 2, 104, 1, 913, 913, 913, 913.0, 0.0, 833569.0
0, 0, 1, 200, 200, 200, 200.0, 0.0, 40000.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 200, 200, 200, 200.0, 0.0, 40000.0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 40, 1, 68, 68, 68, 68.0, 0.0, 4624.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40, 1, 68, 68, 68, 68.0, 0.0, 4624.0
1, 40, 3, 2122, 157, 1765, 707.3333333333334, 559637.5555555555, 1059958.0, 1, 52, 0, 0, 0, 0, 0, 0, 0, 2, 92, 3, 2122, 157, 1765, 707.3333333333334, 559637.5555555555, 1059958.0
3, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7254, 1358, 2948, 2418.0, 561800.0, 6408524.0, 3, 156, 3, 7254, 1358, 2948, 2418.0, 561800.0, 6408524.0
6, 296, 6, 2943, 68, 2041, 490.5, 512513.5833333333, 753103.8333333334, 3, 164, 5, 4452, 106, 3545, 890.4, 1773293.44, 2566105.6, 9, 460, 11, 7395, 68, 3545, 672.2727272727273, 1337982.24609375, 1577195.5454545454
15, 780, 2, 352, 157, 195, 176.0, 361.0, 31337.0, 0, 0, 15, 42527, 943, 4396, 2835.133333333333, 820873.4488888893, 8858854.466666667, 15, 780, 17, 42879, 157, 4396, 2522.294117647059, 1183907.24609375, 7820323.0
2, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25352, 1924, 8740, 4225.333333333333, 5532195.555555556, 23385637.333333332, 2, 104, 6, 25352, 1924, 8740, 4225.333333333333, 5532195.555555555, 23385637.333333332
2, 112, 9, 14714, 78, 2948, 1634.888888888889, 1311755.6543209876, 3984617.3333333335, 1, 60, 1, 275, 275, 275, 275.0, 0.0, 75625.0, 3, 172, 10, 14989, 78, 2948, 1498.9, 1348356.7768595042, 3593718.1
3, 156, 5, 5495, 172, 2774, 1099.0, 1065654.4, 2273455.4, 4, 208, 4, 11731, 103, 5633, 2932.75, 3913958.1875, 12514980.75, 7, 364, 9, 17226, 103, 5633, 1914.0, 3614347.6331360945, 6825244.444444444
4, 208, 3, 5676, 226, 2786, 1892.0, 1390258.6666666667, 4969922.666666667, 5, 260, 4, 6390, 256, 3099, 1597.5, 1477051.25, 4029057.5, 9, 468, 7, 12066, 226, 3099, 1723.7142857142858, 1470583.2396694215, 4432285.428571428
16, 828, 10, 12395, 68, 2948, 1239.5, 1377655.45, 2914015.7, 6, 320, 21, 109175, 101, 24668, 5198.809523809524, 43212646.4399093, 70240266.90476191, 22, 1148, 31, 121570, 68, 24668, 3921.6129032258063, 37602358.009985216, 48522121.35483871
38, 2000, 9, 4986, 116, 934, 554.0, 113601.33333333333, 420517.3333333333, 7, 388, 42, 281871, 292, 23220, 6711.214285714285, 53241602.73979591, 98281999.92857143, 45, 2388, 51, 286857, 116, 23220, 5624.64705882353, 51413969.067637876, 81012326.52941176
59, 3080, 21, 28626, 116, 2948, 1363.142857142857, 703487.455782313, 2561645.904761905, 4, 224, 89, 849511, 292, 23220, 9545.067415730337, 70767795.56848882, 161876107.53932583, 63, 3304, 110, 878137, 116, 23220, 7983.063636363637, 69693012.48933108, 131461528.5
219, 11412, 43, 38935, 116, 2948, 905.4651162790698, 192904.6673877772, 1012771.7441860465, 16, 864, 365, 3404547, 292, 27816, 9327.52602739726, 62845904.39726778, 149848646.1890411, 235, 12276, 408, 3443482, 116, 27816, 8439.906862745098, 63086904.38987563, 134162512.36274509
141, 7332, 26, 31381, 805, 2948, 1206.9615384615386, 300855.575443787, 1757611.7307692308, 4, 208, 316, 3120187, 168, 29012, 9874.009493670887, 69876665.02839088, 167372728.50949368, 145, 7540, 342, 3151568, 168, 29012, 9215.111111111111, 69978362.70107676, 154782105.59649122
209, 10896, 15, 15504, 116, 2722, 1033.6, 831953.84, 1900282.8, 4, 216, 503, 5230434, 363, 26116, 10398.477137176938, 59499505.728602536, 167627832.50099403, 213, 11112, 518, 5245938, 116, 26116, 10127.293436293436, 59907119.57234415, 162828772.18146718
206, 10728, 34, 47346, 103, 2948, 1392.5294117647059, 768902.9550173011, 2708041.117647059, 13, 700, 377, 3831064, 197, 26116, 10161.973474801061, 59468319.94624602, 162734024.84880635, 219, 11428, 411, 3878410, 103, 26116, 9436.520681265207, 60110590.99196707, 149495865.61070558
260, 13520, 28, 33559, 103, 2948, 1198.5357142857142, 393995.03443877556, 1830482.892857143, 11, 572, 531, 5211913, 197, 29012, 9815.278719397364, 66950176.875234514, 163289873.21468925, 271, 14092, 559, 5245472, 103, 29012, 9383.67084078712, 67098776.816366464, 155202461.89266548
